Unnamed: 0,está conectado! Puede destruirse el módulo. íDesco
Estos símbolos se utilizan en estas instrucciones de,necte o desenchufe primero el módulo de fuente de
empleo bajo las  siguientes condiciones.,"alimentación del control, la alimentación de tensión"
,externa y la tensión de señalización y sólo después en
,chufe o extraiga el módulo!
PRECAUCION,
Este símbolo se utiliza para advertir de una tensión,ATENCION
eléctrica peligrosa. La ejecución inexacta o la no eje,0.3
cución de esta instrucción podrá provocar daños a,¡Peligro para el módulo!
las personas.,¡Observe en la manipulación del módulo todas las pre
,cauciones en cuanto a la protección ESD! ¡Evite de
! PRECAUCION,scargas estáticas!
Este símbolo se utiliza cuando por una ejecución inex,
acta o la no ejecución de instrucciones se pueden lle,ATENCION
gar a producir daños a las personas.,2.1
,La temperatura media del aire ambiente no deberá ex
,ceder de 50 °C durante un período de 24 horas.
ATENCION,
Este símbolo se utiliza cuando por la ejecución inex,
acta o la no ejecución de instrucciones se pueden lle,ATENCION
gar a producir daños en los aparatos o archivos.,2.2
,El aire ambiente debe estar libre de mayores concen
.,"traciones de polvo, ácidos, lejías, agentes corrosivos,"
